# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 120 3 1 0 0.8746 0.745 0.796 0.946 0.995 0.86774 0.49971 0.36803 4584500000.0 1534700000.0 0.0 0.8746 3.0 11.75 11.44 1672100000.0 1023200000.0 -1.84 -99.0 -99.0 -99.0 -99.0 -99.0 120 00000 -1.0 1.0
goodss 126 3 1 -1 0.5011 0.468 0.476 0.522 0.601 0.06706 -99.0 0.06706 -99.0 279650000.0 2.0 0.5011 3.0 -18.4 10.33 318200000.0 186430000.0 -1.86 -99.0 -99.0 -99.0 -99.0 -99.0 126 goodss-15-G141_00126 0.49182 1.0
goodss 137 3 1 0 0.9549 0.912 0.926 0.985 1.01 1.1361 0.21015 0.92593 1928000000.0 3861300000.0 1.0 0.9549 3.0 3.887 12.59 4285400000.0 2574200000.0 -1.86 -99.0 -99.0 -99.0 -99.0 -99.0 137 00000 -1.0 1.0
goodss 138 3 1 -1 2.1081 1.921 2.002 2.21 2.306 15.01 11.688 3.3225 107230000000.0 13855000000.0 0.0 2.108 3.0 30.14 13.59 11505000000.0 9236900000.0 -1.3 -99.0 -99.0 -99.0 -99.0 -99.0 138 00000 -1.0 1.0
goodss 142 3 1 0 1.3011 1.248 1.269 1.872 2.188 51.683 48.641 3.0424 446250000000.0 12687000000.0 0.0 1.301 3.0 256.6 15.41 5157300000.0 8458100000.0 0.06 -99.0 -99.0 -99.0 -99.0 -99.0 142 00000 -1.0 1.0
goodss 152 2 1 1 0.7367 0.7308 0.7323 0.7368 0.7384 2.3328 0.85741 1.4754 7866200000.0 6152700000.0 0.0 0.7367 2.0 26.67 7.926 6811900000.0 4101800000.0 -1.84 13.18 1.34 372.94 50.73 1.631 152 goodss-15-G141_00152 0.73672 1.0
goodss 154 3 1 -1 2.7579 2.653 2.701 2.815 2.871 3.9218 -99.0 3.9218 -99.0 16354000000.0 2.0 2.758 3.0 -7.374 13.39 14956000000.0 10903000000.0 -1.34 -99.0 -99.0 -99.0 -99.0 -99.0 154 00000 -1.0 1.0
goodss 155 3 1 -1 1.2871 1.175 1.242 1.335 1.362 2.7882 1.904 0.88429 17467000000.0 3687600000.0 0.0 1.287 3.0 10.59 7.717 3286200000.0 2458400000.0 -1.47 2.05 0.78 172.34 74.24 0.833 155 goodss-15-G141_00155 1.34785 1.0
goodss 159 3 1 -1 2.502 2.122 2.33 2.663 2.761 9.1083 8.3623 0.74605 76718000000.0 3111100000.0 1.0 2.502 3.0 11.31 13.47 3564600000.0 2074100000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 159 00000 -1.0 1.0
goodss 161 3 1 0 0.6277 0.515 0.585 0.67 0.718 0.31779 -99.0 0.31779 -99.0 1325200000.0 2.0 0.6277 3.0 -0.5556 16.93 576130000.0 883490000.0 -0.1 -99.0 -99.0 -99.0 -99.0 -99.0 161 00000 -1.0 1.0
