# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 138 3 1 0 0.8757 0.845 0.851 0.898 0.923 2.781 2.2089 0.57213 20265000000.0 2385900000.0 0.0 0.8757 3.0 51.82 21.78 1256000000.0 1590600000.0 -0.33 -99.0 -99.0 -99.0 -99.0 -99.0 138 00000 -1.0 1.0
cosmos 139 3 1 -1 2.7339 2.518 2.571 2.939 3.016 87.388 84.063 3.3256 771220000000.0 13868000000.0 0.0 2.734 3.0 64.48 21.99 7044200000.0 9245500000.0 -0.36 -99.0 -99.0 -99.0 -99.0 -99.0 139 00000 -1.0 2.0
cosmos 140 3 1 -1 1.2632 1.144 1.187 1.362 1.478 2.6206 1.8201 0.80052 16698000000.0 3338300000.0 1.0 1.263 3.0 11.09 28.29 3863100000.0 2225500000.0 -1.84 -99.0 -99.0 -99.0 -99.0 -99.0 140 00000 -1.0 1.0
cosmos 142 3 1 0 1.6228 1.572 1.592 1.656 1.664 4.781 0.31323 4.4678 2873600000.0 18631000000.0 1.0 1.623 3.0 1.067 21.58 20353000000.0 12421000000.0 -1.81 -99.0 -99.0 -99.0 -99.0 -99.0 142 00000 -1.0 1.0
cosmos 143 3 1 -1 0.9263 0.767 0.877 0.977 1.009 0.17607 -99.0 0.17607 -99.0 734240000.0 2.0 0.9263 3.0 -76.18 24.58 382750000.0 489500000.0 -0.39 -99.0 -99.0 -99.0 -99.0 -99.0 143 00000 -1.0 1.0
cosmos 145 3 1 0 1.6339 1.457 1.506 1.735 1.766 3.5338 -99.0 3.5338 -99.0 14736000000.0 2.0 1.634 3.0 -52.12 32.95 12872000000.0 9824200000.0 -1.37 -99.0 -99.0 -99.0 -99.0 -99.0 145 00000 -1.0 1.0
cosmos 147 3 1 -1 0.9535 0.906 0.926 0.983 1.008 0.57831 -99.0 0.57831 -99.0 2411600000.0 2.0 0.9535 3.0 -5.176 28.21 2054100000.0 1607800000.0 -1.41 -99.0 -99.0 -99.0 -99.0 -99.0 147 00000 -1.0 1.0
cosmos 149 3 1 0 0.979 0.94 0.953 1.008 1.017 2.2281 -99.0 2.2281 -99.0 9291400000.0 2.0 0.979 3.0 -48.29 18.23 11001000000.0 6194200000.0 -1.95 -99.0 -99.0 -99.0 -99.0 -99.0 149 00000 -1.0 1.0
cosmos 152 3 1 0 0.9323 0.901 0.907 0.955 0.973 3.4345 1.7045 1.73 15637000000.0 7214400000.0 0.0 0.9323 3.0 34.08 27.17 7662700000.0 4809600000.0 -1.77 -99.0 -99.0 -99.0 -99.0 -99.0 152 00000 -1.0 1.0
cosmos 154 3 1 -1 2.1665 1.901 2.089 2.25 2.324 1.7594 -99.0 1.7594 -99.0 7336800000.0 2.0 2.166 3.0 -2.219 20.08 8886600000.0 4891200000.0 -1.93 -99.0 -99.0 -99.0 -99.0 -99.0 154 00000 -1.0 1.0
