# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 196 2 1 1 0.8022 0.7373 0.7611 0.8058 0.8479 1.5484 0.3808 1.1676 3493600000.0 4869100000.0 1.0 0.8022 2.0 10.01 11.1 5482400000.0 3246000000.0 -1.85 4.28 1.31 112.59 36.78 0.946 196 goodsn-41-G141_00196 0.80219 1.0
goodsn 200 3 1 -1 2.3747 2.237 2.299 2.448 2.496 6.0537 -99.0 6.0537 -99.0 25245000000.0 2.0 2.375 3.0 -13.17 7.969 24713000000.0 16830000000.0 -1.69 -99.0 -99.0 -99.0 -99.0 -99.0 200 goodsn-41-G141_00200 2.10496 1.0
goodsn 201 2 1 1 0.7298 0.7244 0.7282 0.7697 0.7877 2.3183 1.9266 0.39166 17676000000.0 1633300000.0 0.0 0.7298 2.0 61.18 9.525 210460000.0 1088900000.0 1.96 -99.0 -99.0 -99.0 -99.0 -99.0 201 goodsn-41-G141_00201 0.72979 3.0
goodsn 202 2 1 1 0.8094 0.7984 0.8025 0.8124 0.8175 1.0877 0.27567 0.81205 2529100000.0 3386400000.0 1.0 0.8094 2.0 7.146 8.537 3797200000.0 2257600000.0 -1.8 7.71 1.35 461.9 107.6 1.142 202 goodsn-41-G141_00202 0.80941 1.0
goodsn 222 2 1 1 1.4218 1.3441 1.388 1.4421 1.5103 22.982 19.717 3.265 180890000000.0 13616000000.0 0.0 1.422 2.0 75.75 13.89 7222000000.0 9077100000.0 -0.42 0.48 1.13 14.73 36.08 1.01 222 goodsn-41-G141_00222 1.42177 1.0
goodsn 224 3 1 -1 0.8662 0.672 0.77 0.96 1.024 0.25275 -99.0 0.25275 -99.0 1054000000.0 2.0 0.8662 3.0 -17.16 7.02 1206700000.0 702670000.0 -1.89 1.81 0.8 66648.57 1082369.57 243.162 224 goodsn-41-G141_00224 0.75505 1.0
goodsn 226 2 1 1 1.2111 1.2068 1.2087 1.2132 1.2156 8.4211 7.9116 0.50949 72583000000.0 2124700000.0 0.0 1.211 2.0 58.93 10.08 712710000.0 1416400000.0 0.34 4.06 0.61 87.31 13.44 0.946 226 goodsn-41-G141_00226 1.21112 2.0
goodsn 227 3 1 -1 1.7186 1.589 1.642 1.791 1.837 0.92805 -99.0 0.92805 -99.0 3870100000.0 2.0 1.719 3.0 -13.4 8.359 3396000000.0 2580100000.0 -1.41 -99.0 -99.0 -99.0 -99.0 -99.0 227 goodsn-41-G141_00227 1.77042 1.0
goodsn 233 3 1 -1 0.8283 0.721 0.766 0.894 0.947 0.50906 0.28958 0.21948 2656700000.0 915260000.0 1.0 0.8283 3.0 7.314 13.19 948500000.0 610170000.0 -1.7 3.49 0.75 1777.06 1059.79 3.15 233 goodsn-41-G141_00233 0.77269 1.0
goodsn 235 3 1 -1 2.2576 1.155 1.807 2.696 3.003 3.9544 3.3445 0.60997 30683000000.0 2543700000.0 1.0 2.258 3.0 6.865 30.11 1023300000.0 1695800000.0 0.11 -99.0 -99.0 -99.0 -99.0 -99.0 235 00000 -1.0 1.0
goodsn 239 3 1 -1 0.9061 0.785 0.849 0.959 0.997 0.66246 0.036616 0.62585 335930000.0 2609900000.0 1.0 0.9061 3.0 0.7949 25.97 2791600000.0 1739900000.0 -1.78 -0.23 1.23 -30503399.88 8.500809630969831e+198 1.5824076432741557e+43 239 goodsn-41-G141_00239 0.70063 1.0
goodsn 240 2 1 1 1.7621 1.7567 1.7588 1.7635 1.766 4.5674 -99.0 4.5674 -99.0 19047000000.0 2.0 1.762 2.0 -3.25 11.03 13258000000.0 12698000000.0 -0.95 -99.0 -99.0 -99.0 -99.0 -99.0 240 goodsn-41-G141_00240 1.76212 1.0
goodsn 242 3 1 0 1.8052 1.684 1.729 1.881 1.95 0.61924 -99.0 0.61924 -99.0 2582300000.0 2.0 1.805 3.0 -32.56 28.2 178170000.0 1721600000.0 3.04 -99.0 -99.0 -99.0 -99.0 -99.0 242 00000 -1.0 3.0
goodsn 243 2 1 1 0.7995 0.6648 0.7738 0.823 0.9054 1.5726 1.4829 0.089743 13604000000.0 374240000.0 0.0 0.7995 2.0 39.2 12.81 67970000.0 249490000.0 1.41 1.86 1.07 98.17 59.2 1.02 243 goodsn-41-G141_00243 0.79948 2.0
goodsn 250 3 1 0 1.9463 1.854 1.881 2.022 2.114 205.87 204.46 1.4166 1875800000000.0 5907400000.0 0.0 1.946 3.0 667.6 26.34 2658600000.0 3938300000.0 -0.31 -99.0 -99.0 -99.0 -99.0 -99.0 250 goodsn-41-G141_00250 1.82922 2.0
goodsn 251 3 1 -1 2.3588 2.099 2.232 2.489 2.583 8.1726 6.8206 1.3521 62574000000.0 5638300000.0 0.0 2.359 3.0 12.12 10.03 6895000000.0 3758800000.0 -1.95 -99.0 -99.0 -99.0 -99.0 -99.0 251 goodsn-41-G141_00251 2.02678 3.0
goodsn 252 2 1 1 1.2133 1.1542 1.1981 1.2701 1.3256 1.2782 -99.0 1.2782 -99.0 5330300000.0 2.0 1.213 2.0 -4.313 13.16 4859700000.0 3553600000.0 -1.52 0.59 1.13 57.73 114.57 1.226 252 goodsn-41-G141_00252 1.21333 1.0
goodsn 253 3 1 -1 2.3565 2.223 2.289 2.429 2.482 11.044 3.1387 7.9051 28795000000.0 32965000000.0 1.0 2.356 3.0 5.602 11.79 36375000000.0 21977000000.0 -1.75 -99.0 -99.0 -99.0 -99.0 -99.0 253 00000 -1.0 1.0
goodsn 255 2 1 1 0.6736 0.6021 0.6422 0.6807 0.7187 0.71265 0.3233 0.38935 2966100000.0 1623600000.0 1.0 0.6736 2.0 12.19 17.0 1453200000.0 1082400000.0 -1.45 9.66 2.42 553.48 181.47 1.157 255 goodsn-41-G141_00255 0.67364 1.0
